date,country,customer_id,year,month,day,times_viewed,price
2017-12-01,United Arab Emirates,,,,,,
2017-12-01,United Kingdom,28761051.0,4927531.0,29316.0,2443.0,11652.0,9163.070000000029
2017-12-01,Unspecified,,,,,,
2017-12-01,West Indies,,,,,,
2017-12-02,Australia,,,,,,
2017-12-02,Austria,,,,,,
2017-12-02,Bahrain,,,,,,
2017-12-02,Belgium,,,,,,
2017-12-02,Bermuda,,,,,,
2017-12-02,Brazil,,,,,,
2017-12-02,Canada,,,,,,
2017-12-02,Channel Islands,,,,,,
2017-12-02,Cyprus,395488.0,64544.0,384.0,64.0,212.0,179.97999999999993
2017-12-02,Czech Republic,,,,,,
2017-12-02,Denmark,,,,,,
2017-12-02,EIRE,,,,,,
2017-12-02,European Community,,,,,,
2017-12-02,Finland,,,,,,
2017-12-02,France,,,,,,
2017-12-02,Germany,,,,,,
2017-12-02,Greece,,,,,,
2017-12-02,Hong Kong,,,,,,
2017-12-02,Iceland,,,,,,
2017-12-02,Israel,,,,,,
2017-12-02,Italy,,,,,,
2017-12-02,Japan,,,,,,
2017-12-02,Korea,,,,,,
2017-12-02,Lebanon,,,,,,
2017-12-02,Lithuania,,,,,,
2017-12-02,Malta,,,,,,
2017-12-02,Netherlands,,,,,,
2017-12-02,Nigeria,,,,,,
2017-12-02,Norway,,,,,,
2017-12-02,Poland,,,,,,
2017-12-02,Portugal,,,,,,
2017-12-02,RSA,,,,,,
2017-12-02,Saudi Arabia,,,,,,
2017-12-02,Singapore,,,,,,
2017-12-02,Spain,,,,,,
2017-12-02,Sweden,,,,,,
2017-12-02,Switzerland,,,,,,
2017-12-02,Thailand,,,,,,
2017-12-02,USA,,,,,,
2017-12-02,United Arab Emirates,,,,,,
2017-12-02,United Kingdom,5850976.0,746290.0,4440.0,740.0,3101.0,1263.2800000000009
2017-12-02,Unspecified,,,,,,
2017-12-02,West Indies,,,,,,
2017-12-03,Australia,,,,,,
2017-12-03,Austria,,,,,,
2017-12-03,Bahrain,,,,,,
2017-12-03,Belgium,223506.0,36306.0,216.0,54.0,123.0,78.24999999999999
2017-12-03,Bermuda,,,,,,
2017-12-03,Brazil,,,,,,
2017-12-03,Canada,,,,,,
2017-12-03,Channel Islands,,,,,,
2017-12-03,Cyprus,,,,,,
2017-12-03,Czech Republic,,,,,,
2017-12-03,Denmark,,,,,,
2017-12-03,EIRE,,,,,,
2017-12-03,European Community,,,,,,
2017-12-03,Finland,,,,,,
2017-12-03,France,289409.0,46391.0,276.0,69.0,227.0,76.38
2017-12-03,Germany,179569.0,26221.0,156.0,39.0,98.0,49.2
2017-12-03,Greece,,,,,,
2017-12-03,Hong Kong,,,,,,
2017-12-03,Iceland,,,,,,
2017-12-03,Israel,,,,,,
2017-12-03,Italy,,,,,,
2017-12-03,Japan,,,,,,
2017-12-03,Korea,,,,,,
2017-12-03,Lebanon,,,,,,
2017-12-03,Lithuania,,,,,,
2017-12-03,Malta,,,,,,
2017-12-03,Netherlands,,,,,,
2017-12-03,Nigeria,,,,,,
2017-12-03,Norway,,,,,,
2017-12-03,Poland,,,,,,
2017-12-03,Portugal,,,,,,
2017-12-03,RSA,,,,,,
2017-12-03,Saudi Arabia,,,,,,
2017-12-03,Singapore,,,,,,
2017-12-03,Spain,,,,,,
2017-12-03,Sweden,,,,,,
2017-12-03,Switzerland,,,,,,
2017-12-03,Thailand,,,,,,
2017-12-03,USA,,,,,,
2017-12-03,United Arab Emirates,,,,,,
2017-12-03,United Kingdom,29560061.0,3808096.0,22656.0,5664.0,8096.0,6229.109999999952
2017-12-03,Unspecified,,,,,,
2017-12-03,West Indies,,,,,,
2017-12-04,Australia,24848.0,4034.0,24.0,8.0,4.0,10.100000000000001
2017-12-04,Austria,,,,,,
2017-12-04,Bahrain,,,,,,
2017-12-04,Belgium,,,,,,
2017-12-04,Bermuda,,,,,,
2017-12-04,Brazil,,,,,,
2017-12-04,Canada,,,,,,
2017-12-04,Channel Islands,,,,,,
2017-12-04,Cyprus,,,,,,
2017-12-04,Czech Republic,,,,,,
2017-12-04,Denmark,,,,,,
2017-12-04,EIRE,922972.0,129088.0,768.0,256.0,403.0,484.64999999999986
2017-12-04,European Community,,,,,,
2017-12-04,Finland,,,,,,
2017-12-04,France,75446.0,12102.0,72.0,24.0,55.0,14.96
2017-12-04,Germany,549369.0,88748.0,528.0,176.0,444.0,151.98000000000002
2017-12-04,Greece,717828.0,82697.0,492.0,164.0,397.0,104.04000000000002
2017-12-04,Hong Kong,,,,,,
2017-12-04,Iceland,,,,,,
2017-12-04,Israel,,,,,,
2017-12-04,Italy,,,,,,
2017-12-04,Japan,,,,,,
2017-12-04,Korea,,,,,,
2017-12-04,Lebanon,,,,,,
2017-12-04,Lithuania,,,,,,
2017-12-04,Malta,,,,,,
2017-12-04,Netherlands,,,,,,
2017-12-04,Nigeria,,,,,,
2017-12-04,Norway,261303.0,42357.0,252.0,84.0,175.0,123.28
2017-12-04,Poland,,,,,,
2017-12-04,Portugal,,,,,,
2017-12-04,RSA,,,,,,
2017-12-04,Saudi Arabia,,,,,,
2017-12-04,Singapore,,,,,,
2017-12-04,Spain,87780.0,14119.0,84.0,28.0,71.0,58.699999999999996
2017-12-04,Sweden,,,,,,
2017-12-04,Switzerland,,,,,,
2017-12-04,Thailand,,,,,,
2017-12-04,USA,,,,,,
2017-12-04,United Arab Emirates,,,,,,
2017-12-04,United Kingdom,25211338.0,5413628.0,32208.0,10736.0,11202.0,12189.79000000019
2017-12-04,Unspecified,,,,,,
2017-12-04,West Indies,,,,,,
2017-12-05,Australia,24848.0,4034.0,24.0,10.0,5.0,2.5
2017-12-05,Austria,210086.0,34289.0,204.0,85.0,122.0,95.84000000000002
2017-12-05,Bahrain,,,,,,
2017-12-05,Belgium,,,,,,
2017-12-05,Bermuda,,,,,,
2017-12-05,Brazil,,,,,,
2017-12-05,Canada,,,,,,
2017-12-05,Channel Islands,,,,,,
2017-12-05,Cyprus,,,,,,
2017-12-05,Czech Republic,,,,,,
2017-12-05,Denmark,27804.0,4034.0,24.0,10.0,3.0,9.7
2017-12-05,EIRE,446575.0,60510.0,360.0,150.0,255.0,97.35000000000002
2017-12-05,European Community,,,,,,
2017-12-05,Finland,,,,,,
2017-12-05,France,488452.0,72612.0,432.0,180.0,141.0,179.6
2017-12-05,Germany,,,,,,
2017-12-05,Greece,,,,,,
2017-12-05,Hong Kong,,,,,,
2017-12-05,Iceland,,,,,,
2017-12-05,Israel,,,,,,
2017-12-05,Italy,,,,,,
2017-12-05,Japan,,,,,,
2017-12-05,Korea,,,,,,
2017-12-05,Lebanon,,,,,,
2017-12-05,Lithuania,,,,,,
2017-12-05,Malta,,,,,,
2017-12-05,Netherlands,746946.0,102867.0,612.0,255.0,51.0,104.15
2017-12-05,Nigeria,,,,,,
2017-12-05,Norway,,,,,,
2017-12-05,Poland,,,,,,
2017-12-05,Portugal,242915.0,38323.0,228.0,95.0,121.0,85.60000000000002
2017-12-05,RSA,,,,,,
2017-12-05,Saudi Arabia,,,,,,
2017-12-05,Singapore,,,,,,
2017-12-05,Spain,,,,,,
2017-12-05,Sweden,,,,,,
2017-12-05,Switzerland,,,,,,
2017-12-05,Thailand,,,,,,
2017-12-05,USA,,,,,,
2017-12-05,United Arab Emirates,,,,,,
2017-12-05,United Kingdom,27891770.0,4604811.0,27396.0,11415.0,11906.0,8892.26999999999
2017-12-05,Unspecified,,,,,,
2017-12-05,West Indies,,,,,,
2017-12-06,Australia,,,,,,
2017-12-06,Austria,,,,,,
2017-12-06,Bahrain,,,,,,
2017-12-06,Belgium,,,,,,
2017-12-06,Bermuda,,,,,,
2017-12-06,Brazil,,,,,,
2017-12-06,Canada,,,,,,
2017-12-06,Channel Islands,,,,,,
2017-12-06,Cyprus,,,,,,
2017-12-06,Czech Republic,,,,,,
2017-12-06,Denmark,,,,,,
2017-12-06,EIRE,,,,,,
2017-12-06,European Community,,,,,,
2017-12-06,Finland,,,,,,
2017-12-06,France,,,,,,
2017-12-06,Germany,558548.0,88748.0,528.0,264.0,422.0,376.69999999999993
2017-12-06,Greece,,,,,,
2017-12-06,Hong Kong,,,,,,
2017-12-06,Iceland,,,,,,
2017-12-06,Israel,,,,,,
2017-12-06,Italy,,,,,,
2017-12-06,Japan,,,,,,
2017-12-06,Korea,,,,,,
2017-12-06,Lebanon,,,,,,
2017-12-06,Lithuania,,,,,,
2017-12-06,Malta,,,,,,
2017-12-06,Netherlands,,,,,,
2017-12-06,Nigeria,,,,,,
2017-12-06,Norway,,,,,,
2017-12-06,Poland,,,,,,
2017-12-06,Portugal,,,,,,
2017-12-06,RSA,,,,,,
2017-12-06,Saudi Arabia,,,,,,
2017-12-06,Singapore,,,,,,
2017-12-06,Spain,,,,,,
2017-12-06,Sweden,37461.0,6051.0,36.0,18.0,17.0,4.85
2017-12-06,Switzerland,,,,,,
2017-12-06,Thailand,,,,,,
2017-12-06,USA,,,,,,
2017-12-06,United Arab Emirates,,,,,,
2017-12-06,United Kingdom,21440142.0,4887191.0,29076.0,14538.0,10071.0,10886.990000000053
2017-12-06,Unspecified,,,,,,
2017-12-06,West Indies,,,,,,
2017-12-07,Australia,,,,,,
2017-12-07,Austria,,,,,,
2017-12-07,Bahrain,,,,,,
2017-12-07,Belgium,12417.0,2017.0,12.0,7.0,10.0,0.85
2017-12-07,Bermuda,,,,,,
2017-12-07,Brazil,,,,,,
2017-12-07,Canada,,,,,,
2017-12-07,Channel Islands,58256.0,8068.0,48.0,28.0,7.0,26.15
2017-12-07,Cyprus,,,,,,
2017-12-07,Czech Republic,,,,,,
2017-12-07,Denmark,,,,,,
2017-12-07,EIRE,283309.0,38323.0,228.0,133.0,104.0,133.31
2017-12-07,European Community,,,,,,
2017-12-07,Finland,,,,,,
2017-12-07,France,99496.0,16136.0,96.0,56.0,12.0,32.2
2017-12-07,Germany,,,,,,
2017-12-07,Greece,,,,,,
2017-12-07,Hong Kong,,,,,,
2017-12-07,Iceland,,,,,,
2017-12-07,Israel,,,,,,
2017-12-07,Italy,,,,,,
2017-12-07,Japan,,,,,,
2017-12-07,Korea,,,,,,
2017-12-07,Lebanon,,,,,,
2017-12-07,Lithuania,,,,,,
2017-12-07,Malta,,,,,,
2017-12-07,Netherlands,,,,,,
2017-12-07,Nigeria,,,,,,
2017-12-07,Norway,,,,,,
2017-12-07,Poland,,,,,,
2017-12-07,Portugal,,,,,,
2017-12-07,RSA,,,,,,
2017-12-07,Saudi Arabia,,,,,,
2017-12-07,Singapore,,,,,,
2017-12-07,Spain,,,,,,
2017-12-07,Sweden,,,,,,
2017-12-07,Switzerland,,,,,,
2017-12-07,Thailand,,,,,,
2017-12-07,USA,,,,,,
2017-12-07,United Arab Emirates,739803.0,114969.0,684.0,399.0,280.0,132.71
2017-12-07,United Kingdom,29267947.0,4846851.0,28836.0,16821.0,11572.0,10651.38000000005
2017-12-07,Unspecified,,,,,,
2017-12-07,West Indies,,,,,,
2017-12-08,Australia,,,,,,
2017-12-08,Austria,,,,,,
2017-12-08,Bahrain,,,,,,
2017-12-08,Belgium,,,,,,
2017-12-08,Bermuda,,,,,,
2017-12-08,Brazil,,,,,,
2017-12-08,Canada,,,,,,
2017-12-08,Channel Islands,,,,,,
2017-12-08,Cyprus,,,,,,
2017-12-08,Czech Republic,,,,,,
2017-12-08,Denmark,,,,,,
2017-12-08,EIRE,29067.0,4034.0,24.0,16.0,7.0,20.9
2017-12-08,European Community,,,,,,
2017-12-08,Finland,,,,,,
2017-12-08,France,,,,,,
2017-12-08,Germany,62665.0,10085.0,60.0,40.0,13.0,13.350000000000001
2017-12-08,Greece,,,,,,
2017-12-08,Hong Kong,,,,,,
2017-12-08,Iceland,,,,,,
2017-12-08,Israel,,,,,,
2017-12-08,Italy,,,,,,
2017-12-08,Japan,,,,,,
2017-12-08,Korea,,,,,,
2017-12-08,Lebanon,,,,,,
2017-12-08,Lithuania,,,,,,
2017-12-08,Malta,,,,,,
2017-12-08,Netherlands,,,,,,
2017-12-08,Nigeria,,,,,,
2017-12-08,Norway,,,,,,
2017-12-08,Poland,,,,,,
2017-12-08,Portugal,,,,,,
2017-12-08,RSA,,,,,,
2017-12-08,Saudi Arabia,,,,,,
2017-12-08,Singapore,,,,,,
2017-12-08,Spain,,,,,,
2017-12-08,Sweden,,,,,,
2017-12-08,Switzerland,,,,,,
2017-12-08,Thailand,,,,,,
2017-12-08,USA,,,,,,
2017-12-08,United Arab Emirates,,,,,,
2017-12-08,United Kingdom,23962633.0,3096095.0,18420.0,12280.0,7902.0,4864.069999999974
2017-12-08,Unspecified,,,,,,
2017-12-08,West Indies,,,,,,
2017-12-10,Australia,,,,,,
2017-12-10,Austria,,,,,,
2017-12-10,Bahrain,,,,,,
2017-12-10,Belgium,,,,,,
2017-12-10,Bermuda,,,,,,
2017-12-10,Brazil,,,,,,
2017-12-10,Canada,,,,,,
2017-12-10,Channel Islands,,,,,,
2017-12-10,Cyprus,,,,,,
2017-12-10,Czech Republic,,,,,,
2017-12-10,Denmark,,,,,,
2017-12-10,EIRE,0.0,28238.0,168.0,140.0,126.0,96.24000000000001
2017-12-10,European Community,,,,,,
2017-12-10,Finland,50656.0,8068.0,48.0,40.0,31.0,50.89
2017-12-10,France,987726.0,153292.0,912.0,760.0,645.0,237.2199999999999
2017-12-10,Germany,50400.0,8068.0,48.0,40.0,34.0,30.32
2017-12-10,Greece,,,,,,
2017-12-10,Hong Kong,,,,,,
2017-12-10,Iceland,,,,,,
2017-12-10,Israel,,,,,,
2017-12-10,Italy,,,,,,
2017-12-10,Japan,,,,,,
2017-12-10,Korea,,,,,,
2017-12-10,Lebanon,,,,,,
2017-12-10,Lithuania,,,,,,
2017-12-10,Malta,,,,,,
2017-12-10,Netherlands,,,,,,
2017-12-10,Nigeria,,,,,,
2017-12-10,Norway,,,,,,
2017-12-10,Poland,,,,,,
2017-12-10,Portugal,,,,,,
2017-12-10,RSA,,,,,,
2017-12-10,Saudi Arabia,,,,,,
2017-12-10,Singapore,,,,,,
2017-12-10,Spain,,,,,,
2017-12-10,Sweden,,,,,,
2017-12-10,Switzerland,,,,,,
2017-12-10,Thailand,,,,,,
2017-12-10,USA,,,,,,
2017-12-10,United Arab Emirates,,,,,,
2017-12-10,United Kingdom,26419300.0,3384526.0,20136.0,16780.0,7685.0,4568.1999999999825
2017-12-10,Unspecified,,,,,,
2017-12-10,West Indies,,,,,,
2017-12-11,Australia,,,,,,
2017-12-11,Austria,,,,,,
2017-12-11,Bahrain,,,,,,
2017-12-11,Belgium,,,,,,
2017-12-11,Bermuda,,,,,,
2017-12-11,Brazil,,,,,,
2017-12-11,Canada,,,,,,
2017-12-11,Channel Islands,,,,,,
2017-12-11,Cyprus,883169.0,143207.0,852.0,781.0,441.0,262.2199999999999
2017-12-11,Czech Republic,,,,,,
2017-12-11,Denmark,,,,,,
2017-12-11,EIRE,74555.0,10085.0,60.0,55.0,7.0,17.7
2017-12-11,European Community,,,,,,
2017-12-11,Finland,,,,,,
2017-12-11,France,,,,,,
2017-12-11,Germany,2378501.0,383230.0,2280.0,2090.0,1724.0,489.39000000000004
2017-12-11,Greece,,,,,,
2017-12-11,Hong Kong,,,,,,
2017-12-11,Iceland,,,,,,
2017-12-11,Israel,,,,,,
2017-12-11,Italy,,,,,,
2017-12-11,Japan,,,,,,
2017-12-11,Korea,,,,,,
2017-12-11,Lebanon,,,,,,
2017-12-11,Lithuania,,,,,,
2017-12-11,Malta,,,,,,
2017-12-11,Netherlands,,,,,,
2017-12-11,Nigeria,,,,,,
2017-12-11,Norway,,,,,,
2017-12-11,Poland,,,,,,
2017-12-11,Portugal,,,,,,
2017-12-11,RSA,,,,,,
2017-12-11,Saudi Arabia,,,,,,
2017-12-11,Singapore,,,,,,
2017-12-11,Spain,,,,,,
2017-12-11,Sweden,,,,,,
2017-12-11,Switzerland,,,,,,
2017-12-11,Thailand,,,,,,
2017-12-11,USA,,,,,,
2017-12-11,United Arab Emirates,,,,,,
2017-12-11,United Kingdom,26373509.0,7767467.0,46212.0,42361.0,14845.0,19097.67000000029
2017-12-11,Unspecified,,,,,,
2017-12-11,West Indies,,,,,,
2017-12-12,Australia,,,,,,
2017-12-12,Austria,,,,,,
2017-12-12,Bahrain,,,,,,
2017-12-12,Belgium,,,,,,
2017-12-12,Bermuda,,,,,,
2017-12-12,Brazil,,,,,,
2017-12-12,Canada,,,,,,
2017-12-12,Channel Islands,,,,,,
2017-12-12,Cyprus,,,,,,
2017-12-12,Czech Republic,,,,,,
2017-12-12,Denmark,111216.0,16136.0,96.0,96.0,63.0,57.879999999999995
2017-12-12,EIRE,1459390.0,201700.0,1200.0,1200.0,733.0,435.5799999999998
2017-12-12,European Community,,,,,,
2017-12-12,Finland,,,,,,
2017-12-12,France,,,,,,
2017-12-12,Germany,,,,,,
2017-12-12,Greece,,,,,,
2017-12-12,Hong Kong,,,,,,
2017-12-12,Iceland,,,,,,
2017-12-12,Israel,,,,,,
2017-12-12,Italy,,,,,,
2017-12-12,Japan,,,,,,
2017-12-12,Korea,,,,,,
2017-12-12,Lebanon,,,,,,
2017-12-12,Lithuania,,,,,,
2017-12-12,Malta,,,,,,
2017-12-12,Netherlands,,,,,,
2017-12-12,Nigeria,,,,,,
2017-12-12,Norway,,,,,,
2017-12-12,Poland,,,,,,
2017-12-12,Portugal,,,,,,
2017-12-12,RSA,,,,,,
2017-12-12,Saudi Arabia,,,,,,
2017-12-12,Singapore,,,,,,
2017-12-12,Spain,,,,,,
2017-12-12,Sweden,,,,,,
2017-12-12,Switzerland,,,,,,
2017-12-12,Thailand,,,,,,
2017-12-12,USA,,,,,,
2017-12-12,United Arab Emirates,,,,,,
2017-12-12,United Kingdom,23698560.0,3824232.0,22752.0,22752.0,10331.0,9518.670000000011
2017-12-12,Unspecified,,,,,,
2017-12-12,West Indies,,,,,,
2017-12-13,Australia,,,,,,
2017-12-13,Austria,,,,,,
2017-12-13,Bahrain,,,,,,
2017-12-13,Belgium,,,,,,
2017-12-13,Bermuda,,,,,,
2017-12-13,Brazil,,,,,,
2017-12-13,Canada,,,,,,
2017-12-13,Channel Islands,,,,,,
2017-12-13,Cyprus,49436.0,8068.0,48.0,52.0,34.0,2.38
2017-12-13,Czech Republic,,,,,,
2017-12-13,Denmark,,,,,,
2017-12-13,EIRE,693644.0,98833.0,588.0,637.0,359.0,153.41
2017-12-13,European Community,,,,,,
2017-12-13,Finland,,,,,,
2017-12-13,France,,,,,,
2017-12-13,Germany,,,,,,
2017-12-13,Greece,,,,,,
2017-12-13,Hong Kong,,,,,,
2017-12-13,Iceland,,,,,,
2017-12-13,Israel,,,,,,
2017-12-13,Italy,239134.0,38323.0,228.0,247.0,122.0,76.45
2017-12-13,Japan,,,,,,
2017-12-13,Korea,,,,,,
2017-12-13,Lebanon,,,,,,
2017-12-13,Lithuania,,,,,,
2017-12-13,Malta,,,,,,
2017-12-13,Netherlands,102522.0,14119.0,84.0,91.0,76.0,37.25
2017-12-13,Nigeria,,,,,,
2017-12-13,Norway,,,,,,
2017-12-13,Poland,,,,,,
2017-12-13,Portugal,,,,,,
2017-12-13,RSA,,,,,,
2017-12-13,Saudi Arabia,,,,,,
2017-12-13,Singapore,,,,,,
2017-12-13,Spain,,,,,,
2017-12-13,Sweden,,,,,,
2017-12-13,Switzerland,,,,,,
2017-12-13,Thailand,,,,,,
2017-12-13,USA,,,,,,
2017-12-13,United Arab Emirates,,,,,,
2017-12-13,United Kingdom,25639846.0,6327329.0,37644.0,40781.0,13689.0,15610.170000000273
2017-12-13,Unspecified,,,,,,
2017-12-13,West Indies,,,,,,
2017-12-14,Australia,,,,,,
2017-12-14,Austria,,,,,,
2017-12-14,Bahrain,,,,,,
2017-12-14,Belgium,,,,,,
2017-12-14,Bermuda,,,,,,
2017-12-14,Brazil,,,,,,
2017-12-14,Canada,,,,,,
2017-12-14,Channel Islands,,,,,,
2017-12-14,Cyprus,,,,,,
2017-12-14,Czech Republic,,,,,,
2017-12-14,Denmark,,,,,,
2017-12-14,EIRE,29822.0,4034.0,24.0,28.0,1.0,1606.5
2017-12-14,European Community,,,,,,
2017-12-14,Finland,,,,,,
2017-12-14,France,,,,,,
2017-12-14,Germany,12709.0,2017.0,12.0,14.0,1.0,3.25
2017-12-14,Greece,,,,,,
2017-12-14,Hong Kong,,,,,,
2017-12-14,Iceland,,,,,,
2017-12-14,Israel,,,,,,
2017-12-14,Italy,,,,,,
2017-12-14,Japan,,,,,,
2017-12-14,Korea,,,,,,
